internship_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Skills,Eligibility,Perks,Description
2025WSHP0057,2025-09-27 21:43:34,Business Development (Sales),Cars24 Services Private Limited,Gurgaon,Immediately,"₹ 14,500 - 23,000 /month",6 Months,15 Oct' 25,"B2B Sales, Field Sales, Lead Generation",Postgraduate & Undergraduate,"Certificate, Letter Of Recommendation","This Business Development (Sales) internship is focused on sales and business development, with work aligned to B2B Sales, Field Sales, and Lead Generation. The role is based in Gurgaon and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0004,2025-09-27 20:18:58,Digital Marketing,Brand Scale-Up Inc,Bangalore,Immediately,"₹ 15,000 - 20,000 /month",6 Months,26 Oct' 25,"English Proficiency (Spoken), English Proficiency (Written), Google Sheets, Mathematics, MS-Excel, Statistical Modeling, Statistics",Undergraduate,"Certificate, Letter Of Recommendation, 5 Days A Week","This Digital Marketing internship is focused on software and technology, with work aligned to English Proficiency (Spoken), English Proficiency (Written), Google Sheets, Mathematics, MS-Excel, and Statistical Modeling. The role is based in Bangalore and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0009,2025-09-27 21:36:21,Human Resources (HR),Kenovate Solutions,Delhi,Immediately,"₹ 5,000 - 5,001 /month",3 Months,12 Oct' 25,"English Proficiency (Spoken), English Proficiency (Written), Human Resources, MS-Excel, MS-Office, Recruitment, Resume screening",Postgraduate,Certificate,"This Human Resources (HR) internship is focused on human resources and recruitment, with work aligned to English Proficiency (Spoken), English Proficiency (Written), Human Resources, MS-Excel, MS-Office, and Recruitment. The role is based in Delhi and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0110,2025-09-27 20:27:43,Content and Social Media Marketing,Serene Homes,Bangalore,Immediately,"₹ 10,000 - 1,10,000 /month",3 Months,16 Oct' 25,"Content Marketing, Digital Marketing, Sales, Social Media Marketing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Content and Social Media Marketing internship is focused on marketing and growth, with work aligned to Content Marketing, Digital Marketing, Sales, and Social Media Marketing. The role is based in Bangalore and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0064,2025-09-27 22:50:05,Graphic Design,Kalarra,Mumbai,Immediately,"₹ 3,000 - 5,000 /month",6 Months,15 Oct' 25,"Adobe Photoshop, Canva, Video Editing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Graphic Design internship is focused on design and creative work, with work aligned to Adobe Photoshop, Canva, and Video Editing. The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0034,2025-09-27 22:23:26,Social Media Marketing,Echo Booom,Mumbai,Immediately,"₹ 2,000 - 15,000 /month",6 Months,25 Oct' 25,"Content Management, Digital Marketing, Search Engine Optimization (SEO), Social Media Marketing",Undergraduate,"Certificate, Letter Of Recommendation, Mentorship","This Social Media Marketing internship is focused on marketing and growth, with work aligned to Content Management, Digital Marketing, Search Engine Optimization (SEO), and Social Media Marketing. The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0003,2025-09-27 21:29:43,Video Editing/Making,Truevisory Realty Private Limited,Noida,Immediately,"₹ 6,000 - 8,000 /month",3 Months,15 Oct' 25,"Social Media Marketing, Video Editing, Video Making",Postgraduate,"Certificate, Flexible","This Video Editing/Making internship is focused on software and technology, with work aligned to Social Media Marketing, Video Editing, and Video Making. The role is based in Noida and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0001,2025-09-27 20:41:17,Marketing,Arbhu Enterprises Private Limited,Bangalore,Immediately,"₹ 15,000 - 25,000 /month",3 Months,2 Oct' 25,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Office, Social Media Marketing",Postgraduate & Undergraduate,Not Available,"This Marketing internship is focused on marketing and growth, with work aligned to Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Office, and Social Media Marketing. The role is based in Bangalore and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0036,2025-09-21 16:09:27,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Postgraduate & Undergraduate,Not Available,"This Nothing internship is focused on professional work in the listed internship domain, with work aligned to Not Available. The role is based in Not Available and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Not Available and run for Not Available."
2025WSHP0146,2025-09-27 22:46:56,Sales and Marketing,Namastu Enterprises,Mumbai,Immediately,"₹ 15,000 - 20,000 /month",6 Months,17 Oct' 25,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written)",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, Mentorship","This Sales and Marketing internship is focused on marketing and growth, with work aligned to Effective Communication, English Proficiency (Spoken), and English Proficiency (Written). The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0021,2025-09-27 23:03:58,Content Writing,Houzeo,Thane,Immediately,"₹ 10,000 - 12,000 /month",3 Months,3 Oct' 25,"Blogging, Creative Writing, English Proficiency (Written), Written Communication",Undergraduate,"Certificate, Flexible","This Content Writing internship is focused on software and technology, with work aligned to Blogging, Creative Writing, English Proficiency (Written), and Written Communication. The role is based in Thane and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0073,2025-09-27 23:18:52,Operations,Tisteps Private Limited,Chennai,Immediately,"₹ 10,000 - 1,50,000 /month",3 Months,23 Oct' 25,"Analytical Thinking, Data Extraction, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Problem Solving",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Operations internship is focused on operations and supply chain, with work aligned to Analytical Thinking, Data Extraction, MS-Excel, MS-Office, MS-PowerPoint, and MS-Word. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0080,2025-09-21 15:24:28,Full Stack Development,Cogent Web Services,Work from home,Immediately,"₹ 10,000 /month",3 Months,11 Oct' 25,"MERN, Node.js, React",Postgraduate,"Certificate, Letter Of Recommendation","This Full Stack Development internship is focused on software and technology, with work aligned to MERN, Node.js, and React. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0048,2025-09-27 21:05:17,Search Engine Optimization (SEO),The Monsha's,Delhi,Immediately,"₹ 3,000 - 8,000 /month",6 Months,25 Oct' 25,Search Engine Optimization (SEO),Undergraduate,"Certificate, Letter Of Recommendation","This Search Engine Optimization (SEO) internship is focused on marketing and growth, with work aligned to Search Engine Optimization (SEO). The role is based in Delhi and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0007,2025-09-27 21:44:44,Telecalling,Raja Tyagi,Greater Noida,Immediately,"₹ 5,000 - 8,000 /month",3 Months,9 Oct' 25,"English Proficiency (Spoken), English Proficiency (Written)",Postgraduate & Undergraduate,"Certificate, Flexible","This Telecalling internship is focused on professional work in the listed internship domain, with work aligned to English Proficiency (Spoken) and English Proficiency (Written). The role is based in Greater Noida and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0012,2025-09-27 22:17:57,Field Sales,Swayam Infinty Private Limited,Hyderabad,Immediately,"₹ 12,000 - 25,000 /month",2 Months,8 Oct' 25,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Telugu Proficiency (Spoken)",Postgraduate & Undergraduate,"Certificate, Letter Of Recommendation","This Field Sales internship is focused on sales and business development, with work aligned to Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), and Telugu Proficiency (Spoken). The role is based in Hyderabad and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 2 Months."
2025WSHP0156,2025-09-27 22:19:45,Inside Sales,Swipe,Hyderabad,Immediately,"₹ 15,000 - 20,000 /month",2 Months,Not Available,"Effective Communication, Interpersonal skills, Negotiations, Sales",Postgraduate & Undergraduate,"Certificate, Letter Of Recommendation","This Inside Sales internship is focused on sales and business development, with work aligned to Effective Communication, Interpersonal skills, Negotiations, and Sales. The role is based in Hyderabad and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 2 Months."
2025WSHP0147,2025-09-21 15:28:32,Law/Legal,Amanat Foundation,Work from home,Immediately,Unpaid,3 Months,10 Oct' 25,"Legal Drafting, Legal Research, Legal Writing, Statutory compliances",Undergraduate,"Certificate, Flexible, Letter Of Recommendation","This Law/Legal internship is focused on legal work, with work aligned to Legal Drafting, Legal Research, Legal Writing, and Statutory compliances. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0130,2025-09-21 15:16:48,Campus Ambassador,Edculcate India Private Limited,Work from home,Immediately,Not Available,2 Months,15 Oct' 25,"Community Management, Digital Marketing, Effective Communication, Event Management, Interpersonal skills, Social Media Marketing",Postgraduate & Undergraduate,"Certificate, Flexible","This Campus Ambassador internship is focused on professional work in the listed internship domain, with work aligned to Community Management, Digital Marketing, Effective Communication, Event Management, Interpersonal skills, and Social Media Marketing. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 2 Months."
2025WSHP0077,2025-09-27 22:52:02,sales,Moonstone Hammock,Thane,Immediately,"₹ 10,000 - 15,000 /month",3 Months,12 Oct' 25,Client Relationship Management (CRM),Undergraduate,Not Available,"This sales internship is focused on sales and business development, with work aligned to Client Relationship Management (CRM). The role is based in Thane and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0022,2025-09-27 22:25:20,Customer Service/Customer Support,Vamaship,Thane,Immediately,"₹ 10,000 - 10,001 /month",6 Months,27 Oct' 25,"E-commerce, Effective Communication, Interpersonal skills, Key Account Management, Logistics Management, MS-Excel",Postgraduate,Letter Of Recommendation,"This Customer Service/Customer Support internship is focused on customer-facing and support work, with work aligned to E-commerce, Effective Communication, Interpersonal skills, Key Account Management, Logistics Management, and MS-Excel. The role is based in Thane and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0358,2025-09-21 15:28:37,Corporate Sales,BOXIFIED Enterprises,Work from home,Immediately,"₹ 12,000 - 22,000 /month",3 Months,10 Oct' 25,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",Postgraduate & Undergraduate,"Certificate, Flexible","This Corporate Sales internship is focused on sales and business development, with work aligned to Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, and MS-Office. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0123,2025-09-21 14:52:57,Recruitment,Bajrangi Welfare Federation,Work from home,Immediately,Unpaid,4 Months,19 Oct' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Recruitment internship is focused on software and technology, with work aligned to English Proficiency (Spoken), English Proficiency (Written), MS-Excel, and MS-Office. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 4 Months."
2025WSHP0076,2025-09-27 21:09:20,Event Management,Aawas Yojana,Dehradun,Immediately,"₹ 10,000 - 31,000 /month",6 Months,31 Oct' 25,"English Proficiency (Spoken), English Proficiency (Written)",Postgraduate,"Certificate, Flexible, Letter Of Recommendation","This Event Management internship is focused on professional work in the listed internship domain, with work aligned to English Proficiency (Spoken) and English Proficiency (Written). The role is based in Dehradun and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0165,2025-09-21 15:58:52,UI/UX Design,Eduminatti,Work from home,Immediately,"₹ 5,000 - 10,000 /month",2 Months,Not Available,Figma,Postgraduate & Undergraduate,"Certificate, Letter Of Recommendation","This UI/UX Design internship is focused on design and creative work, with work aligned to Figma. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 2 Months."
2025WSHP0052,2025-09-27 23:07:10,Influencer Marketing,Kinetic Management,Mumbai,Immediately,"₹ 5,000 - 12,000 /month",6 Months,1 Oct' 25,"Effective Communication, MS-Excel, MS-PowerPoint, Presentation skills, Research and Analytics",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Influencer Marketing internship is focused on marketing and growth, with work aligned to Effective Communication, MS-Excel, MS-PowerPoint, Presentation skills, and Research and Analytics. The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months."
