internship_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Skills,Eligibility,Perks,Description,deadline_is_demo,domain,work_mode,internship_type
2025WSHP0080,2025-09-21 15:24:28,Full Stack Developer,Cogent Web Services,Work from home,Immediately,"₹ 10,000 /month",3 Months,11 Oct' 25,"HTML, CSS, JavaScript, React.js, Node.js",Postgraduate,"Certificate, Letter Of Recommendation","This Full Stack Development internship is focused on software and technology, with work aligned to MERN, Node.js, and React. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months.",False,Web Development,Remote,Technical
2025WSHP0165,2025-09-21 15:58:52,UI/UX Design,Eduminatti,Work from home,Immediately,"₹ 5,000 - 10,000 /month",2 Months,18 Oct' 25,"Figma, UI Design, UX Design, Wireframing, Prototyping",Postgraduate & Undergraduate,"Certificate, Letter Of Recommendation","This UI/UX Design internship is focused on design and creative work, with work aligned to Figma. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 2 Months.",True,UI / UX,Remote,Technical
2025WSHP0242,2025-09-21 16:13:20,Frontend Developer,LSOYS Games & Apps,Work from home,Immediately,"₹ 1,000 /month",6 Months,20 Sep' 25,"HTML, CSS, JavaScript, React.js, TypeScript",Postgraduate & Undergraduate,"Certificate, Letter Of Recommendation","This Web Development internship is focused on software and technology, with work aligned to Blockchain, Bootstrap, CSS, Digital Marketing, Ethereum, and HTML. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",True,Web Development,Remote,Technical
2025WSHP0016,2025-09-27 23:11:11,Frontend Developer,InstaWeb Labs Private Limited,Mumbai,Immediately,"₹ 10,000 - 15,000 /month",6 Months,8 Oct' 25,"HTML, CSS, JavaScript, React.js, TypeScript",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Front End Development internship is focused on professional work in the listed internship domain, with work aligned to AngularJS, CSS, HTML, JavaScript, Node.js, and React. The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 6 Months.",False,Web Development,Hybrid,Technical
2025WSHP0513,2025-09-21 16:02:53,Flutter Development,Pragament Tech Solutions Private Limited,Work from home,Immediately,"₹ 1,001 - 5,000 /month",1 Month,16 Sep' 25,"Dart, Flutter, Firebase, REST API, Git",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Flutter Development internship is focused on professional work in the listed internship domain, with work aligned to Flutter. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 1 Month.",True,Software Development,Remote,Technical
2025WSHP0071,2025-09-21 14:51:32,Backend Developer,Lawtech,Work from home,Immediately,"₹ 12,000 /month",6 Months,20 Oct' 25,"Python, Node.js, Express.js, REST API, SQL",Postgraduate & Undergraduate,Not Available,"This Backend Development internship is focused on software and technology, with work aligned to Claude, C Programming, Django, HTML, Java, and Kaggle. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Web Development,Remote,Technical
2025WSHP0149,2025-09-21 15:12:49,Data Analytics,Innovexis,Work from home,Immediately,"₹ 15,000 - 25,000 /month",3 Months,16 Oct' 25,"Python, SQL, Pandas, Power BI, Statistics",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Data Analytics internship is focused on data and analytics, with work aligned to Data Analytics, Data Science, MS-Excel, Power BI, Python, and SQL. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months.",False,Data Science,Remote,Technical
2025WSHP0696,2025-09-21 15:26:03,Frontend Developer,Cogent Web Services,Work from home,Immediately,"₹ 10,000 /month",3 Months,11 Oct' 25,"HTML, CSS, JavaScript, React.js, TypeScript",Undergraduate,"Certificate, Letter Of Recommendation","This ReactJS Development internship is focused on professional work in the listed internship domain, with work aligned to Node.js, React, and REST API. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months.",False,Web Development,Remote,Technical
2025WSHP0827,2025-09-27 22:49:05,Artificial Intelligence,Tax-O-Smart LLP,Mumbai,Immediately,"₹ 8,000 - 12,000 /month",6 Months,16 Oct' 25,"Python, PyTorch, TensorFlow, Deep Learning, NLP",Postgraduate & Undergraduate,Certificate,"This Artificial Intelligence (AI) internship is focused on data and analytics, with work aligned to Artificial intelligence and Python. The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,AI / Machine Learning,On-site,Technical
2025WSHP0182,2025-09-21 15:59:47,Android Development,Axe Consultancy And Security Services LLC,Work from home,Immediately,"₹ 20,000 - 50,000 /month",6 Months,02 Sep' 25,"Kotlin, Java, Android Studio, Android SDK, Firebase",Postgraduate,"Certificate, Flexible, Letter Of Recommendation","This Android App Development internship is focused on software and technology, with work aligned to Android, Firebase, Java, Kotlin, REST API, and XML. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 6 Months.",True,Software Development,Remote,Technical
