internship_id,posted_at,role,company,location,stipend,duration,deadline,skills,eligibility,perks,description,deadline_is_demo,domain,work_mode,internship_type,stipend_min,stipend_max,stipend_avg,duration_months,skills_list,start_type,start_date_raw
2025WSHP0080,2025-09-21 15:24:28,Full Stack Developer,Cogent Web Services,Remote,"₹ 10,000 /month",3 Months,2025-10-11,"HTML, CSS, JavaScript, React.js, Node.js",Postgraduate,"Certificate, Letter Of Recommendation","This Full Stack Development internship is focused on software and technology, with work aligned to MERN, Node.js, and React. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months.",False,Web Development,Remote,Technical,10000.0,10000.0,10000.0,3.0,"['html', 'css', 'javascript', 'react.js', 'node.js']",Immediately,Immediately
2025WSHP0165,2025-09-21 15:58:52,UI/UX Design,Eduminatti,Remote,"₹ 5,000 - 10,000 /month",2 Months,2025-10-18,"Figma, UI Design, UX Design, Wireframing, Prototyping",Postgraduate & Undergraduate,"Certificate, Letter Of Recommendation","This UI/UX Design internship is focused on design and creative work, with work aligned to Figma. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 2 Months.",True,UI / UX,Remote,Technical,5000.0,10000.0,7500.0,2.0,"['figma', 'ui design', 'ux design', 'wireframing', 'prototyping']",Immediately,Immediately
2025WSHP0242,2025-09-21 16:13:20,Frontend Developer,LSOYS Games & Apps,Remote,"₹ 1,000 /month",6 Months,2025-09-20,"HTML, CSS, JavaScript, React.js, TypeScript",Postgraduate & Undergraduate,"Certificate, Letter Of Recommendation","This Web Development internship is focused on software and technology, with work aligned to Blockchain, Bootstrap, CSS, Digital Marketing, Ethereum, and HTML. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",True,Web Development,Remote,Technical,1000.0,1000.0,1000.0,6.0,"['html', 'css', 'javascript', 'react.js', 'typescript']",Immediately,Immediately
2025WSHP0016,2025-09-27 23:11:11,Frontend Developer,InstaWeb Labs Private Limited,Mumbai,"₹ 10,000 - 15,000 /month",6 Months,2025-10-08,"HTML, CSS, JavaScript, React.js, TypeScript",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Front End Development internship is focused on professional work in the listed internship domain, with work aligned to AngularJS, CSS, HTML, JavaScript, Node.js, and React. The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 6 Months.",False,Web Development,Hybrid,Technical,10000.0,15000.0,12500.0,6.0,"['html', 'css', 'javascript', 'react.js', 'typescript']",Immediately,Immediately
2025WSHP0513,2025-09-21 16:02:53,Flutter Development,Pragament Tech Solutions Private Limited,Remote,"₹ 1,001 - 5,000 /month",1 Month,2025-09-16,"Dart, Flutter, Firebase, REST API, Git",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Flutter Development internship is focused on professional work in the listed internship domain, with work aligned to Flutter. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 1 Month.",True,Software Development,Remote,Technical,1001.0,5000.0,3000.5,1.0,"['dart', 'flutter', 'firebase', 'rest api', 'git']",Immediately,Immediately
2025WSHP0071,2025-09-21 14:51:32,Backend Developer,Lawtech,Remote,"₹ 12,000 /month",6 Months,2025-10-20,"Python, Node.js, Express.js, REST API, SQL",Postgraduate & Undergraduate,,"This Backend Development internship is focused on software and technology, with work aligned to Claude, C Programming, Django, HTML, Java, and Kaggle. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Web Development,Remote,Technical,12000.0,12000.0,12000.0,6.0,"['python', 'node.js', 'express.js', 'rest api', 'sql']",Immediately,Immediately
2025WSHP0149,2025-09-21 15:12:49,Data Analytics,Innovexis,Remote,"₹ 15,000 - 25,000 /month",3 Months,2025-10-16,"Python, SQL, Pandas, Power BI, Statistics",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Data Analytics internship is focused on data and analytics, with work aligned to Data Analytics, Data Science, MS-Excel, Power BI, Python, and SQL. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months.",False,Data Science,Remote,Technical,15000.0,25000.0,20000.0,3.0,"['python', 'sql', 'pandas', 'power bi', 'statistics']",Immediately,Immediately
2025WSHP0696,2025-09-21 15:26:03,Frontend Developer,Cogent Web Services,Remote,"₹ 10,000 /month",3 Months,2025-10-11,"HTML, CSS, JavaScript, React.js, TypeScript",Undergraduate,"Certificate, Letter Of Recommendation","This ReactJS Development internship is focused on professional work in the listed internship domain, with work aligned to Node.js, React, and REST API. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months.",False,Web Development,Remote,Technical,10000.0,10000.0,10000.0,3.0,"['html', 'css', 'javascript', 'react.js', 'typescript']",Immediately,Immediately
2025WSHP0827,2025-09-27 22:49:05,Artificial Intelligence,Tax-O-Smart LLP,Mumbai,"₹ 8,000 - 12,000 /month",6 Months,2025-10-16,"Python, PyTorch, TensorFlow, Deep Learning, NLP",Postgraduate & Undergraduate,Certificate,"This Artificial Intelligence (AI) internship is focused on data and analytics, with work aligned to Artificial intelligence and Python. The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,AI / Machine Learning,On-site,Technical,8000.0,12000.0,10000.0,6.0,"['python', 'pytorch', 'tensorflow', 'deep learning', 'nlp']",Immediately,Immediately
2025WSHP0182,2025-09-21 15:59:47,Android Development,Axe Consultancy And Security Services LLC,Remote,"₹ 20,000 - 50,000 /month",6 Months,2025-09-02,"Kotlin, Java, Android Studio, Android SDK, Firebase",Postgraduate,"Certificate, Flexible, Letter Of Recommendation","This Android App Development internship is focused on software and technology, with work aligned to Android, Firebase, Java, Kotlin, REST API, and XML. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 6 Months.",True,Software Development,Remote,Technical,20000.0,50000.0,35000.0,6.0,"['kotlin', 'java', 'android studio', 'android sdk', 'firebase']",Immediately,Immediately
